x,m,v_x,v_y
9.026354789733886719e+00,8.060152530670166016e-01,1.088131546974182129e+00,8.999298214912414551e-01
6.862990856170654297e+00,9.041898846626281738e-01,3.764903545379638672e+00,2.687816858291625977e+00
7.899802207946777344e+00,9.041898846626281738e-01,2.318783998489379883e+00,1.697908759117126465e+00
9.074250221252441406e+00,9.041898846626281738e-01,1.042435526847839355e+00,8.683642745018005371e-01
5.249988555908203125e+00,1.002363920211791992e+00,7.563377857208251953e+00,5.495693206787109375e+00
6.194393634796142578e+00,1.002363920211791992e+00,5.035530090332031250e+00,3.588083267211914062e+00
7.265576362609863281e+00,1.002363920211791992e+00,3.155369043350219727e+00,2.261251211166381836e+00
8.147724151611328125e+00,1.002363920211791992e+00,2.036953449249267578e+00,1.508880257606506348e+00
8.902430534362792969e+00,1.002363920211791992e+00,1.224815011024475098e+00,9.882693886756896973e-01
3.178014755249023438e+00,1.100538134574890137e+00,2.279614257812500000e+01,1.801471138000488281e+01
3.820181846618652344e+00,1.100538134574890137e+00,1.542533779144287109e+01,1.172019290924072266e+01
4.718787193298339844e+00,1.100538134574890137e+00,9.665214538574218750e+00,7.031964302062988281e+00
5.635894775390625000e+00,1.100538134574890137e+00,6.391712665557861328e+00,4.589582920074462891e+00
6.390854835510253906e+00,1.100538134574890137e+00,4.616847038269042969e+00,3.296270847320556641e+00
7.021185398101806641e+00,1.100538134574890137e+00,3.515591144561767578e+00,2.511987686157226562e+00
7.498686790466308594e+00,1.100538134574890137e+00,2.829537153244018555e+00,2.037415981292724609e+00
7.847389221191406250e+00,1.100538134574890137e+00,2.386175870895385742e+00,1.741685152053833008e+00
8.096223831176757812e+00,1.100538134574890137e+00,2.080400466918945312e+00,1.540345072746276855e+00
8.239278793334960938e+00,1.100538134574890137e+00,1.933910727500915527e+00,1.441417098045349121e+00
8.293231964111328125e+00,1.100538134574890137e+00,1.874653816223144531e+00,1.402279973030090332e+00
8.275407791137695312e+00,1.100538134574890137e+00,1.822869539260864258e+00,1.364292025566101074e+00
8.198945999145507812e+00,1.100538134574890137e+00,1.976227760314941406e+00,1.468982815742492676e+00
8.094887733459472656e+00,1.100538134574890137e+00,2.082588434219360352e+00,1.541842579841613770e+00
7.971570968627929688e+00,1.100538134574890137e+00,2.239370107650756836e+00,1.643691182136535645e+00
7.851551532745361328e+00,1.100538134574890137e+00,2.383069276809692383e+00,1.739876985549926758e+00
7.743232250213623047e+00,1.100538134574890137e+00,2.465312004089355469e+00,1.791656613349914551e+00
