x,m,v_x,v_y
3.708273172378540039e+00,7.078404426574707031e-01,1.941755294799804688e+01,1.232195377349853516e+01
4.025519847869873047e+00,7.078404426574707031e-01,1.379395580291748047e+01,8.578588485717773438e+00
3.984089851379394531e+00,7.078404426574707031e-01,6.974891662597656250e+00,3.290997505187988281e+00
2.831953763961791992e+00,8.060152530670166016e-01,4.382529830932617188e+01,3.305444717407226562e+01
3.102591276168823242e+00,8.060152530670166016e-01,3.536251068115234375e+01,2.554960060119628906e+01
3.411324024200439453e+00,8.060152530670166016e-01,2.705691719055175781e+01,1.837204170227050781e+01
3.705439090728759766e+00,8.060152530670166016e-01,1.930810928344726562e+01,1.224748229980468750e+01
3.961497306823730469e+00,8.060152530670166016e-01,1.496222496032714844e+01,9.303706169128417969e+00
4.121985912322998047e+00,8.060152530670166016e-01,1.127319049835205078e+01,6.831118583679199219e+00
4.109435081481933594e+00,8.060152530670166016e-01,8.074986457824707031e+00,4.277056694030761719e+00
3.196035861968994141e+00,8.060152530670166016e-01,3.853748798370361328e+00,1.174335718154907227e+00
3.351606369018554688e+00,8.060152530670166016e-01,5.494510173797607422e+00,1.792343139648437500e+00
3.980907440185546875e+00,8.060152530670166016e-01,7.089375019073486328e+00,3.322447776794433594e+00
4.106568813323974609e+00,8.060152530670166016e-01,7.746493339538574219e+00,4.152541637420654297e+00
4.135515689849853516e+00,8.060152530670166016e-01,8.896816253662109375e+00,5.128348827362060547e+00
4.140200138092041016e+00,8.060152530670166016e-01,1.036918449401855469e+01,6.294467926025390625e+00
4.100145816802978516e+00,8.060152530670166016e-01,1.206045722961425781e+01,7.397463321685791016e+00
4.039907455444335938e+00,8.060152530670166016e-01,1.288410758972167969e+01,7.831122398376464844e+00
4.028625011444091797e+00,8.060152530670166016e-01,1.373042297363281250e+01,8.540011405944824219e+00
3.969624996185302734e+00,8.060152530670166016e-01,1.437207698822021484e+01,8.796950340270996094e+00
3.961679458618164062e+00,8.060152530670166016e-01,1.494752788543701172e+01,9.294624328613281250e+00
3.944829940795898438e+00,8.060152530670166016e-01,1.530628490447998047e+01,9.549529075622558594e+00
3.917392969131469727e+00,8.060152530670166016e-01,1.476188564300537109e+01,9.142027854919433594e+00
3.889787197113037109e+00,8.060152530670166016e-01,1.605211830139160156e+01,9.918365478515625000e+00
3.870675563812255859e+00,8.060152530670166016e-01,1.676842117309570312e+01,1.050359821319580078e+01
3.813369035720825195e+00,8.060152530670166016e-01,1.764390945434570312e+01,1.100284957885742188e+01
2.012052297592163086e+00,9.041898846626281738e-01,8.451970672607421875e+01,7.609260559082031250e+01
