x,m,v_x,v_y
3.213150501251220703e+00,8.060152530670166016e-01,1.787336349487304688e+01,8.998971939086914062e+00
2.655534505844116211e+00,9.041898846626281738e-01,4.384814071655273438e+01,3.200234603881835938e+01
2.982657432556152344e+00,9.041898846626281738e-01,2.837709808349609375e+01,1.729832839965820312e+01
3.216938972473144531e+00,9.041898846626281738e-01,1.595707511901855469e+01,7.600178718566894531e+00
1.929599165916442871e+00,1.002363920211791992e+00,8.292740631103515625e+01,7.092913055419921875e+01
2.425955772399902344e+00,1.002363920211791992e+00,5.568709945678710938e+01,4.294387054443359375e+01
2.837252855300903320e+00,1.002363920211791992e+00,3.554953002929687500e+01,2.375888633728027344e+01
3.110622882843017578e+00,1.002363920211791992e+00,2.393107795715332031e+01,1.365586757659912109e+01
3.223680257797241211e+00,1.002363920211791992e+00,1.619009017944335938e+01,7.800723075866699219e+00
2.735201120376586914e+00,1.002363920211791992e+00,1.019402027130126953e+01,3.343393564224243164e+00
2.116149663925170898e+00,1.002363920211791992e+00,7.407423496246337891e+00,1.892711043357849121e+00
2.703860282897949219e+00,1.002363920211791992e+00,7.919229507446289062e+00,2.558217763900756836e+00
2.905154228210449219e+00,1.002363920211791992e+00,9.369292259216308594e+00,3.360482454299926758e+00
3.014465570449829102e+00,1.002363920211791992e+00,1.125358486175537109e+01,4.328825473785400391e+00
3.113357067108154297e+00,1.002363920211791992e+00,1.250416374206542969e+01,5.179099559783935547e+00
3.168138027191162109e+00,1.002363920211791992e+00,1.192900848388671875e+01,5.240268230438232422e+00
3.214524269104003906e+00,1.002363920211791992e+00,1.410358810424804688e+01,6.560715198516845703e+00
3.214942693710327148e+00,1.002363920211791992e+00,1.564512634277343750e+01,7.388888835906982422e+00
1.535550236701965332e+00,1.100538134574890137e+00,1.495571746826171875e+02,1.468122406005859375e+02
1.678019046783447266e+00,1.100538134574890137e+00,1.145535430908203125e+02,1.083856048583984375e+02
1.746188879013061523e+00,1.100538134574890137e+00,9.475942993164062500e+01,8.607287597656250000e+01
2.205979108810424805e+00,1.100538134574890137e+00,6.819847869873046875e+01,5.471997451782226562e+01
2.575059890747070312e+00,1.100538134574890137e+00,4.767409896850585938e+01,3.551675796508789062e+01
2.817205667495727539e+00,1.100538134574890137e+00,3.664045333862304688e+01,2.497817039489746094e+01
2.978281974792480469e+00,1.100538134574890137e+00,2.967155075073242188e+01,1.851297187805175781e+01
3.105767011642456055e+00,1.100538134574890137e+00,2.481125831604003906e+01,1.452867603302001953e+01
3.143453121185302734e+00,1.100538134574890137e+00,2.104816436767578125e+01,1.142578220367431641e+01
3.170064926147460938e+00,1.100538134574890137e+00,1.973923110961914062e+01,1.027782249450683594e+01
3.180242061614990234e+00,1.100538134574890137e+00,1.914533996582031250e+01,9.781716346740722656e+00
3.178272724151611328e+00,1.100538134574890137e+00,1.905697631835937500e+01,9.698265075683593750e+00
3.181330204010009766e+00,1.100538134574890137e+00,1.953634262084960938e+01,1.010420417785644531e+01
3.154654741287231445e+00,1.100538134574890137e+00,1.884989929199218750e+01,9.855612754821777344e+00
3.151269197463989258e+00,1.100538134574890137e+00,2.156212043762207031e+01,1.168439769744873047e+01
3.141036987304687500e+00,1.100538134574890137e+00,2.297177314758300781e+01,1.292676258087158203e+01
3.114049911499023438e+00,1.100538134574890137e+00,2.420144271850585938e+01,1.396978759765625000e+01
3.076812744140625000e+00,1.100538134574890137e+00,2.534930992126464844e+01,1.483627986907958984e+01
3.061337471008300781e+00,1.100538134574890137e+00,2.660269165039062500e+01,1.602664375305175781e+01
3.028256893157958984e+00,1.100538134574890137e+00,2.766205978393554688e+01,1.685331153869628906e+01
2.977137088775634766e+00,1.100538134574890137e+00,2.807765007019042969e+01,1.710298156738281250e+01
2.972791194915771484e+00,1.100538134574890137e+00,3.022323036193847656e+01,1.909176254272460938e+01
2.930121898651123047e+00,1.100538134574890137e+00,3.182134819030761719e+01,2.044325828552246094e+01
2.887156963348388672e+00,1.100538134574890137e+00,3.378184890747070312e+01,2.231565284729003906e+01
2.833572864532470703e+00,1.100538134574890137e+00,3.593265533447265625e+01,2.437019348144531250e+01
2.779798984527587891e+00,1.100538134574890137e+00,3.812773895263671875e+01,2.647330093383789062e+01
1.380732178688049316e+00,1.198712706565856934e+00,2.086376800537109375e+02,2.345560913085937500e+02
1.727566361427307129e+00,1.198712706565856934e+00,1.076146087646484375e+02,1.003508758544921875e+02
1.667532205581665039e+00,1.198712706565856934e+00,1.130841369628906250e+02,1.065164642333984375e+02
1.890214920043945312e+00,1.198712706565856934e+00,8.622962188720703125e+01,7.474644470214843750e+01
